name	amp_MCL1	amp_1q44	amp_MDM4	amp_MYCL1	amp_1q23.3	amp_NFE2L2	amp_2p15	amp_PAX8	amp_TERC	amp_BDH1	amp_SOX2	amp_PDGFRA	amp_FGFR3	amp_4q13.3	amp_TERT	amp_NSD1	amp_5p13.1	amp_E2F3	amp_6p21.1	amp_6q21	amp_PHF3	amp_NEDD9	amp_EGFR	amp_7q36.3	amp_CDK6	amp_MYC	amp_WHSC1L1	amp_KAT6A	amp_8q22.2	amp_SOX17	amp_8q24.3	amp_8q21.13	amp_[ZNF703]	amp_LINC00536	amp_RMRP	amp_9p24.2	amp_KAT6B	amp_10p15.1	amp_CCND1	amp_INTS4	amp_11q22.2	amp_EHF	amp_KDM2A	amp_MDM2	amp_CDK4	amp_KDM5A	amp_KRAS	amp_13q34	amp_NKX2-1	amp_AKT1	amp_14q11.2	amp_IGF1R	amp_ERBB2	amp_TUBD1	amp_PHF12	amp_CBX8	amp_17q21.33	amp_BPTF	amp_17q25.1	amp_18q11.2	amp_CCNE1	amp_19q13.2	amp_BRD4	amp_19q13.42	amp_19p13.2	amp_20q13.33	amp_BCL2L1	amp_ZNF217	amp_22q11.21	amp_G6PD	del_MCL1	del_1q44	del_MDM4	del_MYCL1	del_1q23.3	del_NFE2L2	del_2p15	del_PAX8	del_TERC	del_BDH1	del_SOX2	del_PDGFRA	del_FGFR3	del_4q13.3	del_TERT	del_NSD1	del_5p13.1	del_E2F3	del_6p21.1	del_6q21	del_PHF3	del_NEDD9	del_EGFR	del_7q36.3	del_CDK6	del_MYC	del_WHSC1L1	del_KAT6A	del_8q22.2	del_SOX17	del_8q24.3	del_8q21.13	del_[ZNF703]	del_LINC00536	del_RMRP	del_9p24.2	del_KAT6B	del_10p15.1	del_CCND1	del_INTS4	del_11q22.2	del_EHF	del_KDM2A	del_MDM2	del_CDK4	del_KDM5A	del_KRAS	del_13q34	del_NKX2-1	del_AKT1	del_14q11.2	del_IGF1R	del_ERBB2	del_TUBD1	del_PHF12	del_CBX8	del_17q21.33	del_BPTF	del_17q25.1	del_18q11.2	del_CCNE1	del_19q13.2	del_BRD4	del_19q13.42	del_19p13.2	del_20q13.33	del_BCL2L1	del_ZNF217	del_22q11.21	del_G6PD
type	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d
chrn	 1	 1	 1	 1	 1	 2	 2	 2	 3	 3	 3	 4	 4	 4	 5	 5	 5	 6	 6	 6	 6	 6	 7	 7	 7	 8	 8	 8	 8	 8	 8	 8	 8	 8	 9	 9	10	10	11	11	11	11	11	12	12	12	12	13	14	14	14	15	17	17	17	17	17	17	17	18	19	19	19	19	19	20	20	20	22	23	 1	 1	 1	 1	 1	 1	 2	 2	 2	 2	 3	 3	 3	 4	 4	 4	 4	 5	 5	 5	 6	 6	 6	 7	 7	 7	 8	 8	 8	 9	 9	 9	 9	 9	10	10	10	10	10	11	11	11	12	12	12	13	13	14	14	14	15	15	16	16	17	17	17	17	18	18	19	19	19	20	21	21	22	22	23	23
TCGA-DK-A3WY-01A-11D-A22Y-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GC-A3OO-01A-11D-A22Y-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BT-A20O-01A-21D-A14V-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-E7-A3Y1-01A-11D-A22Y-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GC-A3I6-01A-11D-A20B-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A1AF-01A-11D-A13V-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CU-A0YO-01A-11D-A10T-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DK-A3WX-01A-22D-A22Y-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
